state,year,month,n_incidents,n_injured,n_killed,incidents_per_capita,injured_per_capita,killed_per_capita
Florida,2017,2,50,20,56,2.385085051894442,0.9540340207577769,2.6712952581217753
Florida,2017,3,59,10,65,2.8144003612354416,0.47701701037888844,3.1006105674627746
Florida,2017,4,65,23,69,3.1006105674627746,1.0971391238714434,3.29141737161433
Florida,2017,5,55,12,56,2.623593557083886,0.5724204124546661,2.6712952581217753
Florida,2017,6,48,18,53,2.2896816498186645,0.8586306186819992,2.5281901550081085
Florida,2017,7,80,26,82,3.8161360830311075,1.24024422698511,3.911539485106885
Florida,2017,8,45,10,49,2.1465765467049978,0.47701701037888844,2.337383350856553
Florida,2017,9,44,10,45,2.098874845667109,0.47701701037888844,2.1465765467049978
Florida,2017,10,55,7,58,2.623593557083886,0.3339119072652219,2.766698660197553
Florida,2017,11,50,8,49,2.385085051894442,0.38161360830311075,2.337383350856553
Florida,2017,12,63,13,68,3.005207165386997,0.620122113492555,3.2437156705764414
Washington,2014,1,11,7,10,1.5592541378706684,0.9922526331904252,1.4175037617006074
Washington,2014,2,14,0,14,1.9845052663808505,0,1.9845052663808505
Washington,2014,3,5,2,5,0.7087518808503037,0.2835007523401215,0.7087518808503037
Washington,2014,4,7,0,7,0.9922526331904252,0,0.9922526331904252
Washington,2014,5,9,0,9,1.2757533855305467,0,1.2757533855305467
Washington,2014,6,11,3,14,1.5592541378706684,0.42525112851018226,1.9845052663808505
Washington,2014,7,4,0,4,0.567001504680243,0,0.567001504680243
Washington,2014,8,11,0,11,1.5592541378706684,0,1.5592541378706684
Washington,2014,9,3,0,3,0.42525112851018226,0,0.42525112851018226
Washington,2014,10,6,2,6,0.8505022570203645,0.2835007523401215,0.8505022570203645
Washington,2014,11,5,3,6,0.7087518808503037,0.42525112851018226,0.8505022570203645
Washington,2014,12,6,1,6,0.8505022570203645,0.14175037617006075,0.8505022570203645
Washington,2015,1,10,1,11,1.395935065009394,0.1395935065009394,1.5355285715103335
Washington,2015,2,5,1,6,0.697967532504697,0.1395935065009394,0.8375610390056364
Washington,2015,3,14,2,15,1.9543090910131515,0.2791870130018788,2.093902597514091
Washington,2015,4,6,0,6,0.8375610390056364,0,0.8375610390056364
Washington,2015,5,10,1,12,1.395935065009394,0.1395935065009394,1.6751220780112728
Washington,2015,6,8,0,8,1.1167480520075153,0,1.1167480520075153
Washington,2015,7,20,5,24,2.791870130018788,0.697967532504697,3.3502441560225455
Washington,2015,8,11,3,12,1.5355285715103335,0.4187805195028182,1.6751220780112728
Washington,2015,9,5,0,5,0.697967532504697,0,0.697967532504697
Washington,2015,10,11,5,12,1.5355285715103335,0.697967532504697,1.6751220780112728
Washington,2015,11,10,2,10,1.395935065009394,0.2791870130018788,1.395935065009394
Washington,2015,12,18,0,19,2.512683117016909,0,2.6522766235178485
Washington,2016,1,11,4,12,1.507929446997034,0.5483379807261941,1.6450139421785825
Washington,2016,2,9,2,9,1.2337604566339369,0.27416899036309705,1.2337604566339369
Washington,2016,3,9,3,11,1.2337604566339369,0.41125348554464564,1.507929446997034
Washington,2016,4,10,0,11,1.3708449518154855,0,1.507929446997034
Washington,2016,5,11,0,11,1.507929446997034,0,1.507929446997034
Washington,2016,6,7,2,9,0.9595914662708398,0.27416899036309705,1.2337604566339369
Washington,2016,7,10,2,14,1.3708449518154855,0.27416899036309705,1.9191829325416796
Washington,2016,8,10,2,11,1.3708449518154855,0.27416899036309705,1.507929446997034
Washington,2016,9,7,1,12,0.9595914662708398,0.13708449518154853,1.6450139421785825
Washington,2016,10,10,2,11,1.3708449518154855,0.27416899036309705,1.507929446997034
Washington,2016,11,11,1,11,1.507929446997034,0.13708449518154853,1.507929446997034
Washington,2016,12,7,1,7,0.9595914662708398,0.13708449518154853,0.9595914662708398
Washington,2017,1,11,0,14,1.4818083773901907,0,1.8859379348602425
Washington,2017,2,8,1,8,1.0776788199201386,0.13470985249001732,1.0776788199201386
Washington,2017,3,7,1,8,0.9429689674301213,0.13470985249001732,1.0776788199201386
Washington,2017,4,15,2,17,2.02064778735026,0.26941970498003465,2.2900674923302944
Washington,2017,5,12,1,12,1.6165182298802079,0.13470985249001732,1.6165182298802079
Washington,2017,6,6,0,6,0.8082591149401039,0,0.8082591149401039
Washington,2017,7,8,2,8,1.0776788199201386,0.26941970498003465,1.0776788199201386
Washington,2017,8,10,2,12,1.3470985249001732,0.26941970498003465,1.6165182298802079
Washington,2017,9,11,3,11,1.4818083773901907,0.40412955747005197,1.4818083773901907
Washington,2017,10,12,4,13,1.6165182298802079,0.5388394099600693,1.7512280823702253
Washington,2017,11,15,2,16,2.02064778735026,0.26941970498003465,2.155357639840277
Washington,2017,12,14,2,14,1.8859379348602425,0.26941970498003465,1.8859379348602425
California,2014,1,76,7,81,1.9690663816840346,0.1813613772603716,2.0986102225843
California,2014,2,79,23,83,2.046792686224194,0.595901668141221,2.150427758944406
California,2014,3,90,27,92,2.331789136204778,0.6995367408614334,2.383606672564884
California,2014,4,83,18,83,2.150427758944406,0.4663578272409556,2.150427758944406
California,2014,5,92,40,98,2.383606672564884,1.0363507272021235,2.5390592816452027
California,2014,6,74,24,80,1.9172488453239285,0.6218104363212741,2.072701454404247
California,2014,7,88,25,97,2.279971599844672,0.6477192045013271,2.5131505134651495
California,2014,8,76,22,80,1.9690663816840346,0.569992899961168,2.072701454404247
California,2014,9,72,20,76,1.8654313089638224,0.5181753636010618,1.9690663816840346
California,2014,10,81,20,86,2.0986102225843,0.5181753636010618,2.2281540634845656
California,2014,11,76,19,78,1.9690663816840346,0.49226659542100865,2.0208839180441407
California,2014,12,72,21,72,1.8654313089638224,0.5440841317811148,1.8654313089638224
California,2015,1,77,23,82,1.9785166495387936,0.59098549271938,2.1069917566517025
California,2015,2,50,10,51,1.2847510711290868,0.2569502142258174,1.3104460925516686
California,2015,3,72,28,79,1.850041542425885,0.7194605998322886,2.0299066923839573
California,2015,4,57,9,63,1.464616221087159,0.23125519280323562,1.6187863496226493
California,2015,5,71,16,77,1.8243465210033032,0.41112034276130777,1.9785166495387936
California,2015,6,66,14,69,1.6958714138903945,0.3597302999161443,1.7729564781581397
California,2015,7,68,25,72,1.747261456735558,0.6423755355645434,1.850041542425885
California,2015,8,59,25,60,1.5160062639323224,0.6423755355645434,1.5417012853549041
California,2015,9,85,14,96,2.1840768209194477,0.3597302999161443,2.4667220565678467
California,2015,10,77,19,83,1.9785166495387936,0.48820540702905296,2.132686778074284
California,2015,11,71,27,84,1.8243465210033032,0.6937655784097069,2.158381799496866
California,2015,12,75,15,82,1.9271266066936301,0.38542532133872603,2.1069917566517025
California,2016,1,69,10,77,1.7616818720663052,0.25531621334294274,1.9659348427406593
California,2016,2,66,22,71,1.6850870080634224,0.5616956693544741,1.8127451147348936
California,2016,3,67,25,71,1.7106186293977166,0.638290533357357,1.8127451147348936
California,2016,4,64,12,71,1.6340237653948337,0.3063794560115313,1.8127451147348936
California,2016,5,68,12,73,1.7361502507320108,0.3063794560115313,1.8638083574034823
California,2016,6,79,24,78,2.0169980854092477,0.6127589120230627,1.9914664640749535
California,2016,7,82,35,88,2.093592949412131,0.8936067467002997,2.2467826774178965
California,2016,8,104,39,115,2.6552886187666047,0.9957332320374768,2.936136453443842
California,2016,9,75,17,81,1.9148716000720707,0.4340375626830027,2.0680613280778366
California,2016,10,82,39,91,2.093592949412131,0.9957332320374768,2.323377541420779
California,2016,11,90,23,96,2.297845920086485,0.5872272906887683,2.4510356480922506
California,2016,12,80,20,84,2.042529706743542,0.5106324266858855,2.1446561920807192
California,2017,1,71,11,82,1.8039306734705851,0.2794822170165695,2.0834128904871547
California,2017,2,73,21,79,1.8547456220190521,0.5335569597589054,2.007190467664454
California,2017,3,93,15,98,2.362895107503724,0.3811121141135039,2.489932478874892
California,2017,4,92,25,98,2.3374876332294905,0.6351868568558398,2.489932478874892
California,2017,5,90,15,95,2.2866726846810232,0.3811121141135039,2.4137100560521914
California,2017,6,98,22,108,2.489932478874892,0.558964434033139,2.744007221617228
California,2017,7,92,23,93,2.3374876332294905,0.5843719083073726,2.362895107503724
California,2017,8,86,24,90,2.1850427875840888,0.6097793825816062,2.2866726846810232
California,2017,9,69,24,72,1.7531157249221179,0.6097793825816062,1.8293381477448185
California,2017,10,78,22,80,1.9817829933902202,0.558964434033139,2.0325979419386875
California,2017,11,62,17,61,1.5752634050024827,0.43192706266197106,1.5498559307282491
California,2017,12,90,22,94,2.2866726846810232,0.558964434033139,2.3883025817779577
Missouri,2014,1,24,6,26,3.9628797057958107,0.9907199264489527,4.293119681278795
Missouri,2014,2,13,0,14,2.1465598406393975,0,2.3116798283808895
Missouri,2014,3,22,8,22,3.6326397303128264,1.320959901931937,3.6326397303128264
Missouri,2014,4,9,4,10,1.486079889673429,0.6604799509659685,1.6511998774149212
Missouri,2014,5,11,1,12,1.8163198651564132,0.1651199877414921,1.9814398528979054
Missouri,2014,6,22,4,22,3.6326397303128264,0.6604799509659685,3.6326397303128264
Missouri,2014,7,26,15,29,4.293119681278795,2.476799816122382,4.788479644503271
Missouri,2014,8,24,8,25,3.9628797057958107,1.320959901931937,4.127999693537303
Missouri,2014,9,25,4,28,4.127999693537303,0.6604799509659685,4.623359656761779
Missouri,2014,10,35,6,38,5.779199570952224,0.9907199264489527,6.2745595341767
Missouri,2014,11,34,9,38,5.6140795832107315,1.486079889673429,6.2745595341767
Missouri,2014,12,38,19,38,6.2745595341767,3.13727976708835,6.2745595341767
Missouri,2015,1,31,9,33,5.105627191713995,1.4822788621105147,5.435022494405221
Missouri,2015,2,22,2,27,3.6233483296034805,0.3293953026912255,4.446836586331544
Missouri,2015,3,24,8,27,3.9527436322947063,1.317581210764902,4.446836586331544
Missouri,2015,4,27,6,28,4.446836586331544,0.9881859080736766,4.611534237677157
Missouri,2015,5,31,3,33,5.105627191713995,0.4940929540368383,5.435022494405221
Missouri,2015,6,36,11,38,5.929115448442059,1.8116741648017403,6.258510751133285
Missouri,2015,7,35,7,41,5.7644177970964465,1.1528835594192892,6.752603705170123
Missouri,2015,8,37,16,38,6.093813099787672,2.635162421529804,6.258510751133285
Missouri,2015,9,43,6,46,7.081999007861349,0.9881859080736766,7.576091961898187
Missouri,2015,10,35,1,39,5.7644177970964465,0.16469765134561276,6.423208402478897
Missouri,2015,11,26,1,28,4.282138934985932,0.16469765134561276,4.611534237677157
Missouri,2015,12,30,3,31,4.940929540368383,0.4940929540368383,5.105627191713995
Missouri,2016,1,35,4,38,5.74983140672911,0.6571235893404697,6.242674098734462
Missouri,2016,2,13,4,16,2.1356516653565265,0.6571235893404697,2.6284943573618786
Missouri,2016,3,30,3,32,4.928426920053523,0.4928426920053523,5.256988714723757
Missouri,2016,4,34,7,36,5.585550509393992,1.149966281345822,5.914112304064227
Missouri,2016,5,38,5,39,6.242674098734462,0.8214044866755871,6.4069549960695795
Missouri,2016,6,29,4,34,4.764146022718405,0.6571235893404697,5.585550509393992
Missouri,2016,7,36,13,39,5.914112304064227,2.1356516653565265,6.4069549960695795
Missouri,2016,8,48,13,52,7.885483072085637,2.1356516653565265,8.542606661426106
Missouri,2016,9,35,5,36,5.74983140672911,0.8214044866755871,5.914112304064227
Missouri,2016,10,40,10,42,6.571235893404697,1.6428089733511742,6.899797688074932
Missouri,2016,11,38,12,39,6.242674098734462,1.9713707680214092,6.4069549960695795
Missouri,2016,12,37,14,37,6.0783932013993445,2.299932562691644,6.0783932013993445
Missouri,2017,1,41,9,43,6.713970134295778,1.4737983221624877,7.041480872554109
Missouri,2017,2,28,8,28,4.585150335616629,1.3100429530333226,4.585150335616629
Missouri,2017,3,28,15,31,4.585150335616629,2.4563305369374797,5.076416443004125
Missouri,2017,4,37,7,40,6.0589486577791165,1.1462875839041573,6.550214765166612
Missouri,2017,5,39,7,40,6.386459396037448,1.1462875839041573,6.550214765166612
Missouri,2017,6,46,18,52,7.532746979941605,2.9475966443249755,8.515279194716596
Missouri,2017,7,45,15,47,7.368991610812439,2.4563305369374797,7.69650234907077
Missouri,2017,8,54,11,58,8.842789932974927,1.8013090604208184,9.497811409491588
Missouri,2017,9,34,7,34,5.567682550391621,1.1462875839041573,5.567682550391621
Missouri,2017,10,42,6,44,6.877725503424943,0.9825322147749919,7.205236241683274
Missouri,2017,11,44,13,47,7.205236241683274,2.128819798679149,7.69650234907077
Missouri,2017,12,36,3,40,5.895193288649951,0.49126610738749593,6.550214765166612
